ENSEMBL ID	Human_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Chimp_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)	Rhesus_Monkey_Primary_Visual_Cortex_Relative_Gene_Expression_Difference(RPKM)
ENSG00000000003	0.31434351503967867	0.40164331905299455	0.28401316590732667
ENSG00000000005	0.07844755304131865	0.1840817669472187	0.7374706800114625
ENSG00000000419	0.3460224200901568	0.3256403045301004	0.3283372753797429
ENSG00000000457	0.16503243627811548	0.3609784502843738	0.47398911343751066
ENSG00000000460	0.37803030719737096	0.28788140425097164	0.33408828855165734
ENSG00000000938	0.39192942777696615	0.42226083923593943	0.1858097329870944
ENSG00000000971	0.2118401279081301	0.0711179659869768	0.7170419061048932
ENSG00000001036	0.4377365390639596	0.3214376984555935	0.24082576248044701
ENSG00000001084	0.3089730345918217	0.41335750764936646	0.27766945775881186
ENSG00000001167	0.3264388496731214	0.4151160641058994	0.2584450862209792
ENSG00000001460	0.5529434569856028	0.4128848760868353	0.03417166692756204
ENSG00000001461	0.33579127353143423	0.33257514271843736	0.3316335837501284
ENSG00000001497	0.30561982496158796	0.2754196428561712	0.41896053218224083
ENSG00000001561	0.38540174055547	0.37901774416000483	0.23558051528452512
ENSG00000001617	0.22436865350293725	0.5496285104349198	0.22600283606214297
ENSG00000001626	0.44741129799148033	0.3118206116371576	0.24076809037136207
ENSG00000001629	0.38930741520416196	0.3329974240054004	0.27769516079043766
ENSG00000001630	0.3354750262282815	0.3657847161720576	0.29874025759966083
ENSG00000001631	0.3141282697966551	0.4087654770432649	0.2771062531600801
ENSG00000002016	0.38778206404584253	0.3146673475548296	0.2975505883993278
ENSG00000002330	0.4528997269677822	0.4010304703955067	0.14606980263671115
ENSG00000002549	0.29836176187811025	0.4462794364579359	0.25535880166395386
ENSG00000002726	0.0	1.0	0.0
ENSG00000002745	0.11016478606852928	0.3261842155414035	0.5636509983900673
ENSG00000002746	0.1858183769633508	0.333534502617801	0.4806471204188481
ENSG00000002822	0.37731735416634976	0.31632233638073315	0.30636030945291715
ENSG00000002834	0.25183347701051273	0.2894985504644471	0.4586679725250402
ENSG00000002919	0.257195090423371	0.2997763897578004	0.4430285198188287
ENSG00000002933	0.35235541830759737	0.3635333004466908	0.2841112812457118
ENSG00000003056	0.2332463932025058	0.3839767102140646	0.3827768965834295
ENSG00000003096	0.25751942414506646	0.27910394323843524	0.46337663261649825
